Event,Match,K1,K2,K3,K4,Karter,LR,MF,KB,KD,TT,FS,CM,MR,WS,SL,Ry,BC,DK,YV,BB,Rd
Virginia 2012,R16,Wiff,Stinson,Wheat,Wonn,Wiff,4,4,4,4,4,4,2,1,3,4,3,3,3,4,3,4
Virginia 2012,R16,Wiff,Stinson,Wheat,Wonn,Stinson,1,2,3,2,3,3,4,3,1,2,2,4,2,3,2,3
Virginia 2012,R16,Wiff,Stinson,Wheat,Wonn,Wheat,2,1,1,1,2,1,3,4,4,3,4,2,4,2,1,1
Virginia 2012,R16,Wiff,Stinson,Wheat,Wonn,Wonn,3,3,2,3,1,2,1,2,2,1,1,1,1,1,4,2
Virginia 2012,R16,Boss,Mgay,Weatherton,Edeen,Boss,2,2,1,2,1,1,4,3,1,1,2,1,2,2,2,1
Virginia 2012,R16,Boss,Mgay,Weatherton,Edeen,Mgay,4,3,2,4,3,2,3,4,3,4,4,3,4,3,4,4
Virginia 2012,R16,Boss,Mgay,Weatherton,Edeen,Weatherton,3,4,3,3,2,3,2,2,2,3,1,2,1,4,3,2
Virginia 2012,R16,Boss,Mgay,Weatherton,Edeen,Edeen,1,1,4,1,4,4,1,1,4,2,3,4,3,1,1,3
Virginia 2012,R16,Jones,Clark,Lovins,Third,Jones,3,3,2,3,1,3,4,2,4,3,4,3,2,4,3,4
Virginia 2012,R16,Jones,Clark,Lovins,Third,Clark,2,1,1,1,2,4,1,3,1,2,3,4,3,1,4,2
Virginia 2012,R16,Jones,Clark,Lovins,Third,Lovins,4,2,3,4,4,2,3,4,2,1,1,1,4,2,2,3
Virginia 2012,R16,Jones,Clark,Lovins,Third,Third,1,4,4,2,3,1,2,1,3,4,2,2,1,3,1,1
Virginia 2012,R16,Jimbo,OD,PYL,Trent,Jimbo,1,1,2,3,4,2,2,1,3,1,3,1,2,1,3,4
Virginia 2012,R16,Jimbo,OD,PYL,Trent,OD,2,3,3,2,1,1,3,3,1,4,4,4,1,2,2,3
